log_id,template,variables,original
3649,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:17:48.292 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:24"
3650,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:17:48.292', 'P0000009826', 'T0000000000000011', 'used_space[134366720],', 'f']","2025-04-30 00:17:48.292 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134366720], free_space[21340461568]..."
3651,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:17:48.446', 'P0000009826', 'T0000000000000010993', 'c']","2025-04-30 00:17:48.446 [INFO] database P0000009826 T0000000000000010993  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341345631"
3652,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:17:48.450', 'P0000009826', 'T0000000000000010993', '0', 'ckpt_lsn:2740341345631,', 'min_fst_mdf_lsn:2740341361024,']","2025-04-30 00:17:48.450 [INFO] database P0000009826 T0000000000000010993  hpc_process_ckpt_far_ep_flush flush total 0 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341345631, min_fst_mdf_lsn:2740341361024, max_gen_lsn:0 code:0"
3653,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:17:48.785', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:17:48.785 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
3654,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:17:48.786', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:17:48.786 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
3655,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:17:48.870', 'P0000009826', 'T0000000000000011017', 'c']","2025-04-30 00:17:48.870 [INFO] database P0000009826 T0000000000000011017  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341416306"
3656,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:17:48.871', 'P0000009826', 'T0000000000000011017', '0', 'ckpt_lsn:2740341416306,', 'min_fst_mdf_lsn:2740341440632,']","2025-04-30 00:17:48.871 [INFO] database P0000009826 T0000000000000011017  hpc_process_ckpt_far_ep_flush flush total 0 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341416306, min_fst_mdf_lsn:2740341440632, max_gen_lsn:0 code:0"
3657,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:17:48.880', 'P0000009826', 'T0000000000000011334', '160,', '1']","2025-04-30 00:17:48.880 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 16"
3658,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740341435417), ckpt_fil(1), ckpt_off(7728183808), cur_lsn(2740341563735), l_next_seq(35891391247), g_next_seq(35790068912), cur_free(7828209152), total_space(21474828288), used_space(100025344), free_space(21374802944), n_ep(2)","['2025-04-30 00:17:48.880', 'P0000009826', 'T0000000000000011']","2025-04-30 00:17:48.880 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740341435417), ckpt_fil(1), ckpt_off(7728183808), cur_lsn(2740341563735), l_next_seq(35891391247), g_next_seq(35790068912), cur_free(7828209152), total_space(21474828288), used_space(100025344), free_space(21374802944), n_ep(2)"
3659,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:17:48.880', 'P0000009826', 'T0000000000000011', '2643', 'used_space[100025344],', 'f']","2025-04-30 00:17:48.880 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 2643 pages flushed, used_space[100025344], free_space[21374802944]."
3660,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:17:48.880', 'P0000009826', 'T0000000000000011334', 'CKPT2_FLUSH_THREAD,', 'space[21374802944],', 's']","2025-04-30 00:17:48.880 [INFO] database P0000009826 T0000000000000011334  checkpoint requested by CKPT2_FLUSH_THREAD, rlog free space[21374802944], used space[100025344]"
3661,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:17:48.880', 'P0000009826', 'T0000000000000011', 'used_space[100025344],', 'f']","2025-04-30 00:17:48.880 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[100025344], free_space[21374802944]..."
3662,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:17:49.006', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:17:49.006 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
3663,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:17:49.007', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:17:49.007 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
3664,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:17:49.267', 'P0000009826', 'T0000000000000011334', '160,', '0']","2025-04-30 00:17:49.267 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 0"
3665,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740341545560), ckpt_fil(1), ckpt_off(7784854528), cur_lsn(2740341616301), l_next_seq(35891391389), g_next_seq(35790069054), cur_free(7830452224), total_space(21474828288), used_space(45597696), free_space(21429230592), n_ep(2)","['2025-04-30 00:17:49.267', 'P0000009826', 'T0000000000000011']","2025-04-30 00:17:49.267 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740341545560), ckpt_fil(1), ckpt_off(7784854528), cur_lsn(2740341616301), l_next_seq(35891391389), g_next_seq(35790069054), cur_free(7830452224), total_space(21474828288), used_space(45597696), free_space(21429230592), n_ep(2)"
3666,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:17:49.267', 'P0000009826', 'T0000000000000011', '717', 'used_space[45597696],', 'f']","2025-04-30 00:17:49.267 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 717 pages flushed, used_space[45597696], free_space[21429230592]."
3667,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:17:49.628', 'P0000009826', 'T0000000000000010998', 'c']","2025-04-30 00:17:49.628 [INFO] database P0000009826 T0000000000000010998  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341538612"
3668,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:17:49.644', 'P0000009826', 'T0000000000000010998', '0', 'ckpt_lsn:2740341538612,', 'min_fst_mdf_lsn:2740341563726,']","2025-04-30 00:17:49.644 [INFO] database P0000009826 T0000000000000010998  hpc_process_ckpt_far_ep_flush flush total 0 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341538612, min_fst_mdf_lsn:2740341563726, max_gen_lsn:0 code:0"
3669,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:17:50.617', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340478464],', 's']","2025-04-30 00:17:50.617 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340478464], used space[134349824]"
3670,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:17:50.617 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:8"
3671,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:17:50.617', 'P0000009826', 'T0000000000000011', 'used_space[134349824],', 'f']","2025-04-30 00:17:50.617 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134349824], free_space[21340478464]..."
3672,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:17:50.639', 'P0000009826', 'T0000000000000010992', 'c']","2025-04-30 00:17:50.639 [INFO] database P0000009826 T0000000000000010992  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341578147"
3673,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:17:50.676', 'P0000009826', 'T0000000000000010992', '23', 'ckpt_lsn:2740341578147,', 'min_fst_mdf_lsn:2740341578378,']","2025-04-30 00:17:50.676 [INFO] database P0000009826 T0000000000000010992  hpc_process_ckpt_far_ep_flush flush total 23 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341578147, min_fst_mdf_lsn:2740341578378, max_gen_lsn:0 code:0"
3674,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:17:50.952', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:17:50.952 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
3675,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:17:50.952', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:17:50.952 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
3676,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:17:50.975', 'P0000009826', 'T0000000000000011334', '160,', '1']","2025-04-30 00:17:50.975 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 10"
3677,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740341653982), ckpt_fil(1), ckpt_off(7833330176), cur_lsn(2740341764249), l_next_seq(35891391702), g_next_seq(35790069367), cur_free(7919240192), total_space(21474828288), used_space(85910016), free_space(21388918272), n_ep(2)","['2025-04-30 00:17:50.975', 'P0000009826', 'T0000000000000011']","2025-04-30 00:17:50.975 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740341653982), ckpt_fil(1), ckpt_off(7833330176), cur_lsn(2740341764249), l_next_seq(35891391702), g_next_seq(35790069367), cur_free(7919240192), total_space(21474828288), used_space(85910016), free_space(21388918272), n_ep(2)"
3678,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:17:50.975', 'P0000009826', 'T0000000000000011', '1679', 'used_space[85910016],', 'f']","2025-04-30 00:17:50.975 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 1679 pages flushed, used_space[85910016], free_space[21388918272]."
3679,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:17:50.975', 'P0000009826', 'T0000000000000011334', 'CKPT2_FLUSH_THREAD,', 'space[21388918272],', 's']","2025-04-30 00:17:50.975 [INFO] database P0000009826 T0000000000000011334  checkpoint requested by CKPT2_FLUSH_THREAD, rlog free space[21388918272], used space[85910016]"
3680,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:17:50.975', 'P0000009826', 'T0000000000000011', 'used_space[85910016],', 'f']","2025-04-30 00:17:50.975 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[85910016], free_space[21388918272]..."
3681,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:17:50.977', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:17:50.977 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
3682,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:17:50.977', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:17:50.977 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
3683,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:17:51.146', 'P0000009826', 'T0000000000000011020', 'c']","2025-04-30 00:17:51.146 [INFO] database P0000009826 T0000000000000011020  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341667132"
3684,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:17:51.165', 'P0000009826', 'T0000000000000011020', '0', 'ckpt_lsn:2740341667132,', 'min_fst_mdf_lsn:2740341764241,']","2025-04-30 00:17:51.165 [INFO] database P0000009826 T0000000000000011020  hpc_process_ckpt_far_ep_flush flush total 0 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341667132, min_fst_mdf_lsn:2740341764241, max_gen_lsn:0 code:0"
3685,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:17:51.202', 'P0000009826', 'T0000000000000011334', '160,', '0']","2025-04-30 00:17:51.202 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 0"
3686,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740341764239), ckpt_fil(1), ckpt_off(7919240192), cur_lsn(2740341798833), l_next_seq(35891391756), g_next_seq(35790069421), cur_free(7947669504), total_space(21474828288), used_space(32304128), free_space(21442524160), n_ep(2)","['2025-04-30 00:17:51.202', 'P0000009826', 'T0000000000000011']","2025-04-30 00:17:51.202 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740341764239), ckpt_fil(1), ckpt_off(7919240192), cur_lsn(2740341798833), l_next_seq(35891391756), g_next_seq(35790069421), cur_free(7947669504), total_space(21474828288), used_space(32304128), free_space(21442524160), n_ep(2)"
3687,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:17:51.202', 'P0000009826', 'T0000000000000011', '673', 'used_space[32354816],', 'f']","2025-04-30 00:17:51.202 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 673 pages flushed, used_space[32354816], free_space[21442473472]."
3688,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:17:52.326', 'P0000009826', 'T0000000000000011011', 'c']","2025-04-30 00:17:52.326 [INFO] database P0000009826 T0000000000000011011  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341797355"
3689,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:17:52.520', 'P0000009826', 'T0000000000000011011', '174', 'ckpt_lsn:2740341797355,', 'min_fst_mdf_lsn:2740341797403,']","2025-04-30 00:17:52.520 [INFO] database P0000009826 T0000000000000011011  hpc_process_ckpt_far_ep_flush flush total 174 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341797355, min_fst_mdf_lsn:2740341797403, max_gen_lsn:0 code:0"
3690,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:17:52.621', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340405248],', 's']","2025-04-30 00:17:52.621 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340405248], used space[134423040]"
3691,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:17:52.621 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:10"
3692,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:17:52.621', 'P0000009826', 'T0000000000000011', 'used_space[134423040],', 'f']","2025-04-30 00:17:52.621 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134423040], free_space[21340405248]..."
3693,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:17:53.169', 'P0000009826', 'T0000000000000011043', 'c']","2025-04-30 00:17:53.169 [INFO] database P0000009826 T0000000000000011043  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341873438"
3694,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:17:53.220', 'P0000009826', 'T0000000000000011043', '144', 'ckpt_lsn:2740341873438,', 'min_fst_mdf_lsn:2740341878778,']","2025-04-30 00:17:53.220 [INFO] database P0000009826 T0000000000000011043  hpc_process_ckpt_far_ep_flush flush total 144 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341873438, min_fst_mdf_lsn:2740341878778, max_gen_lsn:0 code:0"
3695,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:17:53.257', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:17:53.257 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
3696,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:17:53.257', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:17:53.257 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
3697,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:17:53.310', 'P0000009826', 'T0000000000000011334', '160,', '2']","2025-04-30 00:17:53.310 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 22"
3698,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740341876002), ckpt_fil(1), ckpt_off(7957103104), cur_lsn(2740342027473), l_next_seq(35891392146), g_next_seq(35790069811), cur_free(8053699584), total_space(21474828288), used_space(96596480), free_space(21378231808), n_ep(2)","['2025-04-30 00:17:53.310', 'P0000009826', 'T0000000000000011']","2025-04-30 00:17:53.310 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740341876002), ckpt_fil(1), ckpt_off(7957103104), cur_lsn(2740342027473), l_next_seq(35891392146), g_next_seq(35790069811), cur_free(8053699584), total_space(21474828288), used_space(96596480), free_space(21378231808), n_ep(2)"
3699,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:17:53.310', 'P0000009826', 'T0000000000000011', '1619', 'used_space[96596480],', 'f']","2025-04-30 00:17:53.310 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 1619 pages flushed, used_space[96596480], free_space[21378231808]."
3700,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:17:53.310', 'P0000009826', 'T0000000000000011334', 'CKPT2_FLUSH_THREAD,', 'space[21378231808],', 's']","2025-04-30 00:17:53.310 [INFO] database P0000009826 T0000000000000011334  checkpoint requested by CKPT2_FLUSH_THREAD, rlog free space[21378231808], used space[96596480]"
3701,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:17:53.311', 'P0000009826', 'T0000000000000011', 'used_space[96596480],', 'f']","2025-04-30 00:17:53.311 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[96596480], free_space[21378231808]..."
3702,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:17:53.323', 'P0000009826', 'T0000000000000081069', 'e']",2025-04-30 00:17:53.323 [WARNING] database P0000009826 T0000000000000081069  socket_err_should_retry errno:38
3703,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:17:53.327', 'P0000009826', 'T0000000000000011', '679', 'used_space[96701952],', 'f']","2025-04-30 00:17:53.327 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 679 pages flushed, used_space[96701952], free_space[21378126336]."
3704,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, <*>","['2025-04-30 00:17:54.173', 'P0000009826', 'T0000000000000011034', 'c']","2025-04-30 00:17:54.173 [INFO] database P0000009826 T0000000000000011034  hpc_process_ckpt_far_ep_flush flush begin, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341971997"
3705,"<DATE> [INFO] database <P_ID> <*> hpc_process_ckpt_far_ep_flush flush total <*> pages done, pseg_first_open:0, hpc_status:1, src_site:1, <*> <*> max_gen_lsn:0 code:0","['2025-04-30 00:17:54.191', 'P0000009826', 'T0000000000000011034', '0', 'ckpt_lsn:2740341971997,', 'min_fst_mdf_lsn:2740342027674,']","2025-04-30 00:17:54.191 [INFO] database P0000009826 T0000000000000011034  hpc_process_ckpt_far_ep_flush flush total 0 pages done, pseg_first_open:0, hpc_status:1, src_site:1, ckpt_lsn:2740341971997, min_fst_mdf_lsn:2740342027674, max_gen_lsn:0 code:0"
3706,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:17:54.281', 'P0000009826', 'T0000000000000011335', 'RLOG_FLUSH_THREAD,', 'space[21340392448],', 's']","2025-04-30 00:17:54.281 [INFO] database P0000009826 T0000000000000011335  checkpoint requested by RLOG_FLUSH_THREAD, rlog free space[21340392448], used space[134435840]"
3707,"<DATE> [INFO] database <P_ID> <T_ID>335 checkpoint generated by rlog flush thread, full_status: <STATUS>, ptx_reserved: <RESERVED>",[],"2025-04-30 00:17:54.281 [INFO] database P0000009826 T0000000000000011335  checkpoint generated by rlog flush thread, full_status:161, ptx_reserved:10"
3708,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:17:54.281', 'P0000009826', 'T0000000000000011', 'used_space[134435840],', 'f']","2025-04-30 00:17:54.281 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[134435840], free_space[21340392448]..."
3709,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:17:54.488', 'P0000009826', 'T0000000000000011', 'b']",2025-04-30 00:17:54.488 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 begin
3710,<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_request_far_ep_flush dest_seq:1 <*>,"['2025-04-30 00:17:54.488', 'P0000009826', 'T0000000000000011', 'e']",2025-04-30 00:17:54.488 [INFO] database P0000009826 T0000000000000011334  ckpt2_request_far_ep_flush dest_seq:1 end
3711,<DATE> [WARNING] database <P_ID> <*> socket_err_should_retry <*>,"['2025-04-30 00:17:54.542', 'P0000009826', 'T0000000000000143594', 'e']",2025-04-30 00:17:54.542 [WARNING] database P0000009826 T0000000000000143594  socket_err_should_retry errno:12
3712,<DATE> [INFO] database <P_ID> <*> ckpt2_log_adjust: full_status: <*> ptx_reserved: <*>,"['2025-04-30 00:17:54.585', 'P0000009826', 'T0000000000000011334', '160,', '1']","2025-04-30 00:17:54.585 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: full_status: 160, ptx_reserved: 12"
3713,"<DATE> [INFO] database <P_ID> <T_ID>334 ckpt2_log_adjust: ckpt_lsn(2740342041589), ckpt_fil(1), ckpt_off(8054025216), cur_lsn(2740342167132), l_next_seq(35891392419), g_next_seq(35790070084), cur_free(8091564544), total_space(21474828288), used_space(37539328), free_space(21437288960), n_ep(2)","['2025-04-30 00:17:54.585', 'P0000009826', 'T0000000000000011']","2025-04-30 00:17:54.585 [INFO] database P0000009826 T0000000000000011334  ckpt2_log_adjust: ckpt_lsn(2740342041589), ckpt_fil(1), ckpt_off(8054025216), cur_lsn(2740342167132), l_next_seq(35891392419), g_next_seq(35790070084), cur_free(8091564544), total_space(21474828288), used_space(37539328), free_space(21437288960), n_ep(2)"
3714,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint end, <*> pages flushed, <*> <*>","['2025-04-30 00:17:54.586', 'P0000009826', 'T0000000000000011', '1349', 'used_space[37539328],', 'f']","2025-04-30 00:17:54.586 [INFO] database P0000009826 T0000000000000011334  checkpoint end, 1349 pages flushed, used_space[37539328], free_space[21437288960]."
3715,<DATE> [INFO] database <P_ID> <*> checkpoint requested by <*> rlog free <*> used <*>,"['2025-04-30 00:17:54.586', 'P0000009826', 'T0000000000000011334', 'CKPT2_FLUSH_THREAD,', 'space[21437288960],', 's']","2025-04-30 00:17:54.586 [INFO] database P0000009826 T0000000000000011334  checkpoint requested by CKPT2_FLUSH_THREAD, rlog free space[21437288960], used space[37539328]"
3716,"<DATE> [INFO] database <P_ID> <T_ID>334 checkpoint begin, <*> <*>","['2025-04-30 00:17:54.586', 'P0000009826', 'T0000000000000011', 'used_space[37539328],', 'f']","2025-04-30 00:17:54.586 [INFO] database P0000009826 T0000000000000011334  checkpoint begin, used_space[37539328], free_space[21437288960]..."
